patient	well_fov	input_subparent_name	mask_subparent_name
NF0014_T2	F5-2	zstack_images	segmentation_masks
NF0014_T2	G8-3	zstack_images	segmentation_masks
NF0014_T2	E6-6	zstack_images	segmentation_masks
NF0014_T2	F11-1	zstack_images	segmentation_masks
NF0014_T2	G10-7	zstack_images	segmentation_masks
NF0014_T2	F10-6	zstack_images	segmentation_masks
NF0014_T2	G4-1	zstack_images	segmentation_masks
NF0014_T2	F7-4	zstack_images	segmentation_masks
NF0014_T2	D8-7	zstack_images	segmentation_masks
NF0014_T2	D5-6	zstack_images	segmentation_masks
NF0014_T2	D9-4	zstack_images	segmentation_masks
NF0014_T2	F2-4	zstack_images	segmentation_masks
NF0014_T2	E8-1	zstack_images	segmentation_masks
NF0014_T2	F11-4	zstack_images	segmentation_masks
NF0014_T2	G11-5	zstack_images	segmentation_masks
NF0014_T2	G9-4	zstack_images	segmentation_masks
NF0014_T2	D3-2	zstack_images	segmentation_masks
NF0014_T2	D6-4	zstack_images	segmentation_masks
NF0014_T2	D8-5	zstack_images	segmentation_masks
NF0014_T2	E4-4	zstack_images	segmentation_masks
NF0014_T2	D11-2	zstack_images	segmentation_masks
NF0014_T2	E6-7	zstack_images	segmentation_masks
NF0014_T2	G9-5	zstack_images	segmentation_masks
NF0014_T2	E11-3	zstack_images	segmentation_masks
NF0014_T2	D5-1	zstack_images	segmentation_masks
NF0014_T2	C3-6	zstack_images	segmentation_masks
NF0014_T2	D2-7	zstack_images	segmentation_masks
NF0014_T2	D4-6	zstack_images	segmentation_masks
NF0014_T2	F8-7	zstack_images	segmentation_masks
NF0014_T2	F10-1	zstack_images	segmentation_masks
NF0014_T2	F9-4	zstack_images	segmentation_masks
NF0014_T2	E8-7	zstack_images	segmentation_masks
NF0014_T2	E5-6	zstack_images	segmentation_masks
NF0014_T2	C9-7	zstack_images	segmentation_masks
NF0014_T2	E4-5	zstack_images	segmentation_masks
NF0014_T2	G3-2	zstack_images	segmentation_masks
NF0014_T2	E8-3	zstack_images	segmentation_masks
NF0014_T2	F7-5	zstack_images	segmentation_masks
NF0014_T2	E9-7	zstack_images	segmentation_masks
NF0014_T2	E3-4	zstack_images	segmentation_masks
NF0014_T2	G5-4	zstack_images	segmentation_masks
NF0014_T2	C6-3	zstack_images	segmentation_masks
NF0014_T2	C9-1	zstack_images	segmentation_masks
NF0014_T2	D9-2	zstack_images	segmentation_masks
NF0014_T2	G4-3	zstack_images	segmentation_masks
NF0014_T2	C4-5	zstack_images	segmentation_masks
NF0014_T2	D8-6	zstack_images	segmentation_masks
NF0014_T2	C8-2	zstack_images	segmentation_masks
NF0014_T2	F9-1	zstack_images	segmentation_masks
NF0014_T2	D2-4	zstack_images	segmentation_masks
NF0014_T2	C2-4	zstack_images	segmentation_masks
NF0014_T2	G9-2	zstack_images	segmentation_masks
NF0014_T2	E10-6	zstack_images	segmentation_masks
NF0014_T2	F10-7	zstack_images	segmentation_masks
NF0014_T2	C5-4	zstack_images	segmentation_masks
NF0014_T2	G2-1	zstack_images	segmentation_masks
